gene_id,Geneid,GeneSymbol,Chromosome,Class,Length
KLHL2,ENSG00000109466.14,KLHL2,chr4,protein_coding,115595.0
KMT2C,ENSG00000055609.21,KMT2C,chr7,protein_coding,301722.0
KMT2D,ENSG00000167548.18,KMT2D,chr12,protein_coding,41819.0
KMT2E,ENSG00000005483.23,KMT2E,chr7,protein_coding,174076.0
KPNA1,ENSG00000114030.13,KPNA1,chr3,protein_coding,93043.0
KPNA4,ENSG00000186432.10,KPNA4,chr3,protein_coding,70564.0
KPNB1,ENSG00000108424.11,KPNB1,chr17,protein_coding,36029.0
KRAS,ENSG00000133703.14,KRAS,chr12,protein_coding,45690.0
KREMEN1,ENSG00000183762.13,KREMEN1,chr22,protein_coding,95298.0
KRT23,ENSG00000108244.17,KRT23,chr17,protein_coding,14946.0
LACTB,ENSG00000103642.12,LACTB,chr15,protein_coding,20228.0
LAMP1,ENSG00000185896.11,LAMP1,chr13,protein_coding,26433.0
LAMP2,ENSG00000005893.17,LAMP2,chrX,protein_coding,43217.0
LAMTOR3,ENSG00000109270.13,LAMTOR3,chr4,protein_coding,16092.0
LAMTOR5,ENSG00000134248.14,LAMTOR5,chr1,protein_coding,6693.0
LAPTM4A,ENSG00000068697.7,LAPTM4A,chr2,protein_coding,18978.0
LAPTM5,ENSG00000162511.8,LAPTM5,chr1,protein_coding,25305.0
LASP1,ENSG00000002834.19,LASP1,chr17,protein_coding,51911.0
LAT2,ENSG00000086730.17,LAT2,chr7,protein_coding,30182.0
LBR,ENSG00000143815.15,LBR,chr1,protein_coding,27423.0
LCOR,ENSG00000196233.14,LCOR,chr10,protein_coding,163702.0
LCP1,ENSG00000136167.15,LCP1,chr13,protein_coding,85951.0
LCP2,ENSG00000043462.13,LCP2,chr5,protein_coding,51582.0
LDHA,ENSG00000134333.15,LDHA,chr11,protein_coding,13865.0
LENG8,ENSG00000167615.18,LENG8,chr19,protein_coding,12826.0
LGALS3,ENSG00000131981.16,LGALS3,chr14,protein_coding,21313.0
LILRA2,ENSG00000239998.7,LILRA2,chr19,protein_coding,17367.0
LILRA5,ENSG00000187116.14,LILRA5,chr19,protein_coding,6096.0
LILRA6,ENSG00000244482.10,LILRA6,chr19,protein_coding,6199.0
LILRB2,ENSG00000131042.15,LILRB2,chr19,protein_coding,7372.0
LILRB3,ENSG00000204577.12,LILRB3,chr19,protein_coding,7228.0
LIMD2,ENSG00000136490.9,LIMD2,chr17,protein_coding,5284.0
LIMK2,ENSG00000182541.18,LIMK2,chr22,protein_coding,67841.0
LIMS1,ENSG00000169756.17,LIMS1,chr2,protein_coding,153575.0
LIN7A,ENSG00000111052.8,LIN7A,chr12,protein_coding,145414.0
LIPN,ENSG00000204020.6,LIPN,chr10,protein_coding,19644.0
LITAF,ENSG00000189067.14,LITAF,chr16,protein_coding,88659.0
LMBRD1,ENSG00000168216.13,LMBRD1,chr6,protein_coding,194479.0
LMNB1,ENSG00000113368.12,LMNB1,chr5,protein_coding,60397.0
LMTK2,ENSG00000164715.6,LMTK2,chr7,protein_coding,102776.0
LPAR2,ENSG00000064547.14,LPAR2,chr19,protein_coding,5275.0
LPCAT2,ENSG00000087253.13,LPCAT2,chr16,protein_coding,77594.0
LPGAT1,ENSG00000123684.13,LPGAT1,chr1,protein_coding,87306.0
LPIN2,ENSG00000101577.11,LPIN2,chr18,protein_coding,127848.0
LPP,ENSG00000145012.15,LPP,chr3,protein_coding,737387.0
LRG1,ENSG00000171236.10,LRG1,chr19,protein_coding,3634.0
LRP10,ENSG00000197324.9,LRP10,chr14,protein_coding,9973.0
LRRC25,ENSG00000175489.10,LRRC25,chr19,protein_coding,6485.0
LRRFIP1,ENSG00000124831.20,LRRFIP1,chr2,protein_coding,186095.0
LRRK2,ENSG00000188906.17,LRRK2,chr12,protein_coding,172541.0
LSM14A,ENSG00000257103.9,LSM14A,chr19,protein_coding,56784.0
LSP1,ENSG00000130592.17,LSP1,chr11,protein_coding,41363.0
LST1,ENSG00000204482.11,LST1,chr6,protein_coding,2785.0
LTA4H,ENSG00000111144.10,LTA4H,chr12,protein_coding,42767.0
LTB,ENSG00000227507.3,LTB,chr6,protein_coding,1997.0
LY96,ENSG00000154589.7,LY96,chr8,protein_coding,37687.0
LYN,ENSG00000254087.8,LYN,chr8,protein_coding,134334.0
LYRM1,ENSG00000102897.10,LYRM1,chr16,protein_coding,25138.0
LYST,ENSG00000143669.16,LYST,chr1,protein_coding,222683.0
LYZ,ENSG00000090382.7,LYZ,chr12,protein_coding,5853.0
MACROH2A1,ENSG00000113648.17,MACROH2A1,chr5,protein_coding,65533.0
MAEA,ENSG00000090316.16,MAEA,chr4,protein_coding,50260.0
MAFF,ENSG00000185022.12,MAFF,chr22,protein_coding,15740.0
MAML2,ENSG00000184384.15,MAML2,chr11,protein_coding,366597.0
MAML3,ENSG00000196782.13,MAML3,chr4,protein_coding,437431.0
MAN1A1,ENSG00000111885.7,MAN1A1,chr6,protein_coding,172556.0
MAN1A2,ENSG00000198162.12,MAN1A2,chr1,protein_coding,161423.0
MANBA,ENSG00000109323.11,MANBA,chr4,protein_coding,130224.0
MAP1LC3B,ENSG00000140941.14,MAP1LC3B,chr16,protein_coding,20826.0
MAP2K3,ENSG00000034152.20,MAP2K3,chr17,protein_coding,30560.0
MAP2K4,ENSG00000065559.15,MAP2K4,chr17,protein_coding,123001.0
MAP3K1,ENSG00000095015.6,MAP3K1,chr5,protein_coding,80603.0
MAP3K2,ENSG00000169967.17,MAP3K2,chr2,protein_coding,89797.0
MAP3K3,ENSG00000198909.8,MAP3K3,chr17,protein_coding,73890.0
MAP3K5,ENSG00000197442.11,MAP3K5,chr6,protein_coding,236051.0
MAP3K8,ENSG00000107968.10,MAP3K8,chr10,protein_coding,27812.0
MAP4K4,ENSG00000071054.17,MAP4K4,chr2,protein_coding,197840.0
MAP7D1,ENSG00000116871.16,MAP7D1,chr1,protein_coding,25270.0
MAPK1,ENSG00000100030.15,MAPK1,chr22,protein_coding,108023.0
MAPK14,ENSG00000112062.12,MAPK14,chr6,protein_coding,83454.0
MAPKAPK2,ENSG00000162889.11,MAPKAPK2,chr1,protein_coding,49376.0
MAPRE1,ENSG00000101367.9,MAPRE1,chr20,protein_coding,30451.0
MARCHF6,ENSG00000145495.17,MARCHF6,chr5,protein_coding,86693.0
MARCHF7,ENSG00000136536.15,MARCHF7,chr2,protein_coding,58570.0
MARCKS,ENSG00000277443.3,MARCKS,chr6,protein_coding,6130.0
MARCKSL1,ENSG00000175130.7,MARCKSL1,chr1,protein_coding,2394.0
MARF1,ENSG00000166783.22,MARF1,chr16,protein_coding,48767.0
MARK2,ENSG00000072518.23,MARK2,chr11,protein_coding,72092.0
MARK3,ENSG00000075413.19,MARK3,chr14,protein_coding,118454.0
MAST3,ENSG00000099308.13,MAST3,chr19,protein_coding,53914.0
MATR3-1,ENSG00000015479.20,MATR3,chr5,protein_coding,38003.0
MAX,ENSG00000125952.21,MAX,chr14,protein_coding,96521.0
MBD2,ENSG00000134046.12,MBD2,chr18,protein_coding,73063.0
MBD4,ENSG00000129071.10,MBD4,chr3,protein_coding,9232.0
MBD5,ENSG00000204406.14,MBD5,chr2,protein_coding,495960.0
MBD6,ENSG00000166987.15,MBD6,chr12,protein_coding,9438.0
MBNL1,ENSG00000152601.18,MBNL1,chr3,protein_coding,221952.0
MBOAT2,ENSG00000143797.12,MBOAT2,chr2,protein_coding,151019.0
MBOAT7,ENSG00000125505.17,MBOAT7,chr19,protein_coding,16470.0
MBP,ENSG00000197971.16,MBP,chr18,protein_coding,154856.0
MCEMP1,ENSG00000183019.8,MCEMP1,chr19,protein_coding,2741.0
MCL1,ENSG00000143384.14,MCL1,chr1,protein_coding,18843.0
MCTP1,ENSG00000175471.20,MCTP1,chr5,protein_coding,581404.0
MCTP2,ENSG00000140563.16,MCTP2,chr15,protein_coding,252414.0
MDM4,ENSG00000198625.14,MDM4,chr1,protein_coding,41741.0
MED13,ENSG00000108510.10,MED13,chr17,protein_coding,122673.0
MED13L,ENSG00000123066.9,MED13L,chr12,protein_coding,319788.0
MEF2D,ENSG00000116604.19,MEF2D,chr1,protein_coding,37052.0
MEFV,ENSG00000103313.14,MEFV,chr16,protein_coding,14606.0
MEGF9,ENSG00000106780.9,MEGF9,chr9,protein_coding,113659.0
METTL9,ENSG00000197006.15,METTL9,chr16,protein_coding,60253.0
MFSD14B,ENSG00000148110.17,MFSD14B,chr9,protein_coding,86473.0
MGAM,ENSG00000257335.8,MGAM,chr7,protein_coding,198934.0
MICAL2,ENSG00000133816.19,MICAL2,chr11,protein_coding,265136.0
MID1IP1,ENSG00000165175.17,MID1IP1,chrX,protein_coding,5097.0
MIDN,ENSG00000167470.14,MIDN,chr19,protein_coding,10590.0
MIER1,ENSG00000198160.15,MIER1,chr1,protein_coding,63724.0
MKLN1,ENSG00000128585.18,MKLN1,chr7,protein_coding,386536.0
MKNK1,ENSG00000079277.22,MKNK1,chr1,protein_coding,59436.0
MKNK2,ENSG00000099875.16,MKNK2,chr19,protein_coding,13779.0
MKRN1,ENSG00000133606.11,MKRN1,chr7,protein_coding,26503.0
MLF2,ENSG00000089693.11,MLF2,chr12,protein_coding,19479.0
MME,ENSG00000196549.13,MME,chr3,protein_coding,159580.0
MMP25,ENSG00000008516.18,MMP25,chr16,protein_coding,14664.0
MMP9,ENSG00000100985.7,MMP9,chr20,protein_coding,7653.0
MNDA,ENSG00000163563.8,MNDA,chr1,protein_coding,18155.0
MOB1A,ENSG00000114978.18,MOB1A,chr2,protein_coding,26370.0
MOB3A,ENSG00000172081.14,MOB3A,chr19,protein_coding,25637.0
MORF4L1,ENSG00000185787.15,MORF4L1,chr15,protein_coding,87652.0
MORF4L2,ENSG00000123562.18,MORF4L2,chrX,protein_coding,12662.0
MPHOSPH8,ENSG00000196199.14,MPHOSPH8,chr13,protein_coding,39782.0
MPP1,ENSG00000130830.15,MPP1,chrX,protein_coding,42323.0
MPZL1,ENSG00000197965.12,MPZL1,chr1,protein_coding,70727.0
MPZL3,ENSG00000160588.10,MPZL3,chr11,protein_coding,25675.0
MSL1,ENSG00000188895.12,MSL1,chr17,protein_coding,14946.0
MSN,ENSG00000147065.18,MSN,chrX,protein_coding,153554.0
MSRB1,ENSG00000198736.13,MSRB1,chr16,protein_coding,4970.0
MT-ATP6,ENSG00000198899.2,MT-ATP6,chrM,protein_coding,680.0
MT-ATP8,ENSG00000228253.1,MT-ATP8,chrM,protein_coding,206.0
MT-CO1,ENSG00000198804.2,MT-CO1,chrM,protein_coding,1541.0
MT-CO2,ENSG00000198712.1,MT-CO2,chrM,protein_coding,683.0
MT-CO3,ENSG00000198938.2,MT-CO3,chrM,protein_coding,783.0
MT-CYB,ENSG00000198727.2,MT-CYB,chrM,protein_coding,1140.0
MT-ND1,ENSG00000198888.2,MT-ND1,chrM,protein_coding,955.0
MT-ND2,ENSG00000198763.3,MT-ND2,chrM,protein_coding,1041.0
MT-ND3,ENSG00000198840.2,MT-ND3,chrM,protein_coding,345.0
MT-ND4,ENSG00000198886.2,MT-ND4,chrM,protein_coding,1377.0
MT-ND4L,ENSG00000212907.2,MT-ND4L,chrM,protein_coding,296.0
MT-ND5,ENSG00000198786.2,MT-ND5,chrM,protein_coding,1811.0
MTCH1,ENSG00000137409.21,MTCH1,chr6,protein_coding,20491.0
MTMR3,ENSG00000100330.16,MTMR3,chr22,protein_coding,147699.0
MTPN,ENSG00000105887.11,MTPN,chr7,protein_coding,50599.0
MX1,ENSG00000157601.15,MX1,chr21,protein_coding,50051.0
MX2,ENSG00000183486.14,MX2,chr21,protein_coding,47394.0
MXD1,ENSG00000059728.11,MXD1,chr2,protein_coding,45257.0
MXI1,ENSG00000119950.21,MXI1,chr10,protein_coding,79760.0
MYADM,ENSG00000179820.16,MYADM,chr19,protein_coding,11672.0
MYD88,ENSG00000172936.18,MYD88,chr3,protein_coding,4472.0
MYH9,ENSG00000100345.23,MYH9,chr22,protein_coding,106730.0
MYL12A,ENSG00000101608.13,MYL12A,chr18,protein_coding,8755.0
MYL12B,ENSG00000118680.14,MYL12B,chr18,protein_coding,16982.0
MYL6,ENSG00000092841.19,MYL6,chr12,protein_coding,5150.0
MYLIP,ENSG00000007944.15,MYLIP,chr6,protein_coding,19162.0
MYO1F,ENSG00000142347.19,MYO1F,chr19,protein_coding,56799.0
MYO5A,ENSG00000197535.16,MYO5A,chr15,protein_coding,221851.0
MYO9B,ENSG00000099331.14,MYO9B,chr19,protein_coding,138760.0
N4BP1,ENSG00000102921.8,N4BP1,chr16,protein_coding,81422.0
N4BP2L2,ENSG00000244754.9,N4BP2L2,chr13,protein_coding,106468.0
NABP1,ENSG00000173559.15,NABP1,chr2,protein_coding,63029.0
NADK,ENSG00000008130.15,NADK,chr1,protein_coding,29225.0
NAMPT,ENSG00000105835.13,NAMPT,chr7,protein_coding,37668.0
NAPA,ENSG00000105402.8,NAPA,chr19,protein_coding,27454.0
NBN,ENSG00000104320.15,NBN,chr8,protein_coding,78713.0
NBPF10,ENSG00000271425.9,NBPF10,chr1,protein_coding,164289.0
NBPF14,ENSG00000270629.7,NBPF14,chr1,protein_coding,148357.0
NBR1,ENSG00000188554.15,NBR1,chr17,protein_coding,41208.0
NCF1,ENSG00000158517.16,NCF1,chr7,protein_coding,15304.0
NCF2,ENSG00000116701.16,NCF2,chr1,protein_coding,36444.0
NCF4,ENSG00000100365.16,NCF4,chr22,protein_coding,17029.0
NCOA1,ENSG00000084676.16,NCOA1,chr2,protein_coding,279448.0
NCOA2,ENSG00000140396.13,NCOA2,chr8,protein_coding,294026.0
NCOA4,ENSG00000266412.6,NCOA4,chr10,protein_coding,25535.0
NCOR1,ENSG00000141027.23,NCOR1,chr17,protein_coding,189120.0
NCSTN,ENSG00000162736.18,NCSTN,chr1,protein_coding,15658.0
NDE1,ENSG00000072864.16,NDE1,chr16,protein_coding,91424.0
NDEL1,ENSG00000166579.16,NDEL1,chr17,protein_coding,77280.0
NDUFA1,ENSG00000125356.7,NDUFA1,chrX,protein_coding,4830.0
NECAP1,ENSG00000089818.18,NECAP1,chr12,protein_coding,20942.0
NEDD9,ENSG00000111859.17,NEDD9,chr6,protein_coding,199050.0
NEK7,ENSG00000151414.15,NEK7,chr1,protein_coding,165426.0
NF1,ENSG00000196712.20,NF1,chr17,protein_coding,287189.0
NFAM1,ENSG00000235568.7,NFAM1,chr22,protein_coding,51996.0
NFAT5,ENSG00000102908.23,NFAT5,chr16,protein_coding,139572.0
NFE2L2,ENSG00000116044.17,NFE2L2,chr2,protein_coding,174089.0
NFIL3,ENSG00000165030.4,NFIL3,chr9,protein_coding,14787.0
NFKB1,ENSG00000109320.14,NFKB1,chr4,protein_coding,115972.0
NFKB2,ENSG00000077150.21,NFKB2,chr10,protein_coding,8414.0
NFKBIA,ENSG00000100906.12,NFKBIA,chr14,protein_coding,3670.0
NFKBID,ENSG00000167604.15,NFKBID,chr19,protein_coding,14650.0
NFKBIZ,ENSG00000144802.11,NFKBIZ,chr3,protein_coding,33031.0
NHERF1,ENSG00000109062.12,NHERF1,chr17,protein_coding,20725.0
NHSL2,ENSG00000204131.11,NHSL2,chrX,protein_coding,250905.0
NIBAN1,ENSG00000135842.17,NIBAN1,chr1,protein_coding,183784.0
NIN,ENSG00000100503.27,NIN,chr14,protein_coding,111399.0
NINJ1,ENSG00000131669.10,NINJ1,chr9,protein_coding,12755.0
NIPBL,ENSG00000164190.19,NIPBL,chr5,protein_coding,189644.0
NLRC5,ENSG00000140853.17,NLRC5,chr16,protein_coding,94046.0
NLRP1,ENSG00000091592.17,NLRP1,chr17,protein_coding,120009.0
NMI,ENSG00000123609.11,NMI,chr2,protein_coding,19424.0
NOP10,ENSG00000182117.7,NOP10,chr15,protein_coding,4021.0
NOTCH2,ENSG00000134250.21,NOTCH2,chr1,protein_coding,189226.0
NPC2,ENSG00000119655.11,NPC2,chr14,protein_coding,17985.0
NPEPPS,ENSG00000141279.18,NPEPPS,chr17,protein_coding,101723.0
NPL,ENSG00000135838.14,NPL,chr1,protein_coding,41091.0
NR3C1,ENSG00000113580.15,NR3C1,chr5,protein_coding,157581.0
NR4A1,ENSG00000123358.20,NR4A1,chr12,protein_coding,36675.0
NR4A2,ENSG00000153234.16,NR4A2,chr2,protein_coding,17911.0
NR4A3,ENSG00000119508.18,NR4A3,chr9,protein_coding,45036.0
NRBF2,ENSG00000148572.16,NRBF2,chr10,protein_coding,21784.0
NRDC,ENSG00000078618.23,NRDC,chr1,protein_coding,89614.0
NSD3,ENSG00000147548.17,NSD3,chr8,protein_coding,112568.0
NSMAF,ENSG00000035681.9,NSMAF,chr8,protein_coding,76345.0
NSMCE2,ENSG00000156831.8,NSMCE2,chr8,protein_coding,275441.0
NT5C2,ENSG00000076685.19,NT5C2,chr10,protein_coding,190420.0
NUAK2,ENSG00000163545.11,NUAK2,chr1,protein_coding,19682.0
NUB1,ENSG00000013374.17,NUB1,chr7,protein_coding,36677.0
NUFIP2,ENSG00000108256.9,NUFIP2,chr17,protein_coding,38309.0
NUMB,ENSG00000133961.21,NUMB,chr14,protein_coding,183510.0
NUP153,ENSG00000124789.12,NUP153,chr6,protein_coding,91890.0
NUP50,ENSG00000093000.19,NUP50,chr22,protein_coding,24092.0
NUP58,ENSG00000139496.18,NUP58,chr13,protein_coding,63866.0
NUP98,ENSG00000110713.18,NUP98,chr11,protein_coding,126709.0
NXF1,ENSG00000162231.14,NXF1,chr11,protein_coding,14179.0
OAZ1,ENSG00000104904.12,OAZ1,chr19,protein_coding,3981.0
OAZ2,ENSG00000180304.14,OAZ2,chr15,protein_coding,15708.0
OGA,ENSG00000198408.14,OGA,chr10,protein_coding,34022.0
OGFRL1,ENSG00000119900.9,OGFRL1,chr6,protein_coding,20248.0
OLR1,ENSG00000173391.9,OLR1,chr12,protein_coding,13837.0
ORAI2,ENSG00000160991.17,ORAI2,chr7,protein_coding,23719.0
OS9,ENSG00000135506.17,OS9,chr12,protein_coding,34501.0
OSBPL11,ENSG00000144909.8,OSBPL11,chr3,protein_coding,66639.0
OSBPL8,ENSG00000091039.17,OSBPL8,chr12,protein_coding,208012.0
OSBPL9,ENSG00000117859.19,OSBPL9,chr1,protein_coding,221248.0
OSER1,ENSG00000132823.11,OSER1,chr20,protein_coding,14832.0
OSM,ENSG00000099985.4,OSM,chr22,protein_coding,4022.0
OSTF1,ENSG00000134996.12,OSTF1,chr9,protein_coding,58751.0
OXSR1,ENSG00000172939.9,OXSR1,chr3,protein_coding,90395.0
P2RX1,ENSG00000108405.4,P2RX1,chr17,protein_coding,19884.0
P2RY13,ENSG00000181631.7,P2RY13,chr3,protein_coding,3237.0
PABPC1,ENSG00000070756.17,PABPC1,chr8,protein_coding,36993.0
PACS1,ENSG00000175115.13,PACS1,chr11,protein_coding,174472.0
PACSIN2,ENSG00000100266.19,PACSIN2,chr22,protein_coding,179737.0
PADI2,ENSG00000117115.13,PADI2,chr1,protein_coding,52690.0
PADI4,ENSG00000159339.13,PADI4,chr1,protein_coding,55809.0
PAFAH1B1,ENSG00000007168.14,PAFAH1B1,chr17,protein_coding,92405.0
PAFAH1B2,ENSG00000168092.14,PAFAH1B2,chr11,protein_coding,32610.0
PAG1,ENSG00000076641.4,PAG1,chr8,protein_coding,144258.0
PAIP2,ENSG00000120727.13,PAIP2,chr5,protein_coding,28133.0
PAK1,ENSG00000149269.10,PAK1,chr11,protein_coding,152618.0
PAK2,ENSG00000180370.10,PAK2,chr3,protein_coding,92790.0
PAN3,ENSG00000152520.14,PAN3,chr13,protein_coding,156829.0
PAPOLA,ENSG00000090060.19,PAPOLA,chr14,protein_coding,65683.0
PARP14,ENSG00000173193.15,PARP14,chr3,protein_coding,50001.0
PARP8,ENSG00000151883.19,PARP8,chr5,protein_coding,180620.0
PARP9,ENSG00000138496.17,PARP9,chr3,protein_coding,36653.0
PATL1,ENSG00000166889.14,PATL1,chr11,protein_coding,32321.0
PATL2,ENSG00000229474.8,PATL2,chr15,protein_coding,45591.0
PBX2,ENSG00000204304.12,PBX2,chr6,protein_coding,5469.0
PBXIP1,ENSG00000163346.17,PBXIP1,chr1,protein_coding,12047.0
PCBP1,ENSG00000169564.7,PCBP1,chr2,protein_coding,1726.0
PCBP2,ENSG00000197111.16,PCBP2,chr12,protein_coding,29060.0
PCF11,ENSG00000165494.12,PCF11,chr11,protein_coding,30463.0
PCMTD1,ENSG00000168300.14,PCMTD1,chr8,protein_coding,81611.0
PCNX1,ENSG00000100731.16,PCNX1,chr14,protein_coding,207977.0
PDCD4,ENSG00000150593.18,PDCD4,chr10,protein_coding,28211.0
PDE3B,ENSG00000152270.9,PDE3B,chr11,protein_coding,228240.0
PDE4B,ENSG00000184588.18,PDE4B,chr1,protein_coding,582065.0
PDIA3,ENSG00000167004.14,PDIA3,chr15,protein_coding,26885.0
PDLIM7,ENSG00000196923.14,PDLIM7,chr5,protein_coding,14212.0
PDZD8,ENSG00000165650.12,PDZD8,chr10,protein_coding,98166.0
PECAM1,ENSG00000261371.6,PECAM1,chr17,protein_coding,94361.0
PELI1,ENSG00000197329.12,PELI1,chr2,protein_coding,51768.0
PELI2,ENSG00000139946.11,PELI2,chr14,protein_coding,183710.0
PFKFB3,ENSG00000170525.21,PFKFB3,chr10,protein_coding,109710.0
PFN1,ENSG00000108518.8,PFN1,chr17,protein_coding,3409.0
PGD,ENSG00000142657.21,PGD,chr1,protein_coding,21919.0
PGK1,ENSG00000102144.15,PGK1,chrX,protein_coding,218556.0
PGLYRP1,ENSG00000008438.5,PGLYRP1,chr19,protein_coding,3900.0
PGS1,ENSG00000087157.19,PGS1,chr17,protein_coding,46465.0
PHACTR1,ENSG00000112137.19,PHACTR1,chr6,protein_coding,574134.0
PHC2,ENSG00000134686.21,PHC2,chr1,protein_coding,107472.0
PHF11,ENSG00000136147.18,PHF11,chr13,protein_coding,33371.0
PHF12,ENSG00000109118.14,PHF12,chr17,protein_coding,46521.0
PHF20,ENSG00000025293.17,PHF20,chr20,protein_coding,178396.0
PHF20L1,ENSG00000129292.21,PHF20L1,chr8,protein_coding,73449.0
PHF21A,ENSG00000135365.17,PHF21A,chr11,protein_coding,192135.0
PHF3,ENSG00000118482.12,PHF3,chr6,protein_coding,143534.0
PHGR1,ENSG00000233041.8,PHGR1,chr15,protein_coding,5401.0
PHIP,ENSG00000146247.15,PHIP,chr6,protein_coding,143868.0
PHOSPHO1,ENSG00000173868.12,PHOSPHO1,chr17,protein_coding,7421.0
PI3,ENSG00000124102.5,PI3,chr20,protein_coding,1642.0
PIAS1,ENSG00000033800.14,PIAS1,chr15,protein_coding,144294.0
PICALM,ENSG00000073921.18,PICALM,chr11,protein_coding,112707.0
PIGR,ENSG00000162896.6,PIGR,chr1,protein_coding,17944.0
PIK3AP1,ENSG00000155629.15,PIK3AP1,chr10,protein_coding,127199.0
PIK3CD,ENSG00000171608.18,PIK3CD,chr1,protein_coding,99225.0
PIK3CG,ENSG00000105851.11,PIK3CG,chr7,protein_coding,43702.0
PIK3R5,ENSG00000141506.15,PIK3R5,chr17,protein_coding,86801.0
PILRA,ENSG00000085514.16,PILRA,chr7,protein_coding,32566.0
PIM2,ENSG00000102096.10,PIM2,chrX,protein_coding,5842.0
PIM3,ENSG00000198355.5,PIM3,chr22,protein_coding,3304.0
PITPNA,ENSG00000174238.16,PITPNA,chr17,protein_coding,45074.0
PJA2,ENSG00000198961.10,PJA2,chr5,protein_coding,75261.0
PKM,ENSG00000067225.21,PKM,chr15,protein_coding,32790.0
PKN2,ENSG00000065243.20,PKN2,chr1,protein_coding,152033.0
PLAU,ENSG00000122861.16,PLAU,chr10,protein_coding,8319.0
PLAUR,ENSG00000011422.12,PLAUR,chr19,protein_coding,24452.0
PLBD1,ENSG00000121316.11,PLBD1,chr12,protein_coding,64222.0
PLEK,ENSG00000115956.10,PLEK,chr2,protein_coding,32171.0
PLEKHA2,ENSG00000169499.15,PLEKHA2,chr8,protein_coding,72677.0
PLEKHB2,ENSG00000115762.17,PLEKHB2,chr2,protein_coding,248862.0
PLEKHG3,ENSG00000126822.18,PLEKHG3,chr14,protein_coding,46147.0
PLIN3,ENSG00000105355.9,PLIN3,chr19,protein_coding,29353.0
PLP2,ENSG00000102007.11,PLP2,chrX,protein_coding,3337.0
PLSCR1,ENSG00000188313.13,PLSCR1,chr3,protein_coding,29676.0
PLXDC2,ENSG00000120594.17,PLXDC2,chr10,protein_coding,473617.0
PLXNC1,ENSG00000136040.9,PLXNC1,chr12,protein_coding,159098.0
PMAIP1,ENSG00000141682.12,PMAIP1,chr18,protein_coding,4309.0
PNISR,ENSG00000132424.17,PNISR,chr6,protein_coding,27702.0
PNN,ENSG00000100941.9,PNN,chr14,protein_coding,8037.0
PNP,ENSG00000198805.13,PNP,chr14,protein_coding,15102.0
PNPLA2,ENSG00000177666.17,PNPLA2,chr11,protein_coding,6659.0
PNPLA8,ENSG00000135241.17,PNPLA8,chr7,protein_coding,99249.0
PNRC1,ENSG00000146278.11,PNRC1,chr6,protein_coding,4409.0
POLR2A,ENSG00000181222.19,POLR2A,chr17,protein_coding,30250.0
POMP,ENSG00000132963.9,POMP,chr13,protein_coding,19894.0
PPARD,ENSG00000112033.14,PPARD,chr6,protein_coding,85633.0
PPCDC,ENSG00000138621.12,PPCDC,chr15,protein_coding,93876.0
PPFIA1,ENSG00000131626.19,PPFIA1,chr11,protein_coding,114622.0
PPIA,ENSG00000196262.15,PPIA,chr7,protein_coding,27884.0
PPIF,ENSG00000108179.14,PPIF,chr10,protein_coding,7865.0
PPIG,ENSG00000138398.17,PPIG,chr2,protein_coding,57064.0
PPM1A,ENSG00000100614.18,PPM1A,chr14,protein_coding,53335.0
PPM1F,ENSG00000100034.14,PPM1F,chr22,protein_coding,33423.0
PPP1CB,ENSG00000213639.11,PPP1CB,chr2,protein_coding,51300.0
PPP1R10,ENSG00000204569.10,PPP1R10,chr6,protein_coding,18199.0
PPP1R12A,ENSG00000058272.19,PPP1R12A,chr12,protein_coding,161897.0
PPP1R15A,ENSG00000087074.9,PPP1R15A,chr19,protein_coding,3847.0
PPP1R15B,ENSG00000158615.10,PPP1R15B,chr1,protein_coding,15395.0
PPP1R18,ENSG00000146112.12,PPP1R18,chr6,protein_coding,11506.0
PPP1R2,ENSG00000184203.8,PPP1R2,chr3,protein_coding,28958.0
PPP1R3B,ENSG00000173281.5,PPP1R3B,chr8,protein_coding,15319.0
PPP2R2A,ENSG00000221914.11,PPP2R2A,chr8,protein_coding,81172.0
PPP2R5A,ENSG00000066027.12,PPP2R5A,chr1,protein_coding,76443.0
PPP2R5C,ENSG00000078304.20,PPP2R5C,chr14,protein_coding,166280.0
PPP3CA,ENSG00000138814.17,PPP3CA,chr4,protein_coding,324869.0
PPP4C,ENSG00000149923.14,PPP4C,chr16,protein_coding,9398.0
PPP4R1,ENSG00000154845.16,PPP4R1,chr18,protein_coding,68449.0
PPP4R2,ENSG00000163605.16,PPP4R2,chr3,protein_coding,72395.0
PPP4R3A,ENSG00000100796.18,PPP4R3A,chr14,protein_coding,53046.0
PPP6C,ENSG00000119414.12,PPP6C,chr9,protein_coding,43366.0
PPP6R3,ENSG00000110075.15,PPP6R3,chr11,protein_coding,154603.0
PPT1,ENSG00000131238.18,PPT1,chr1,protein_coding,24550.0
PRDM2,ENSG00000116731.23,PRDM2,chr1,protein_coding,124891.0
PRDX5,ENSG00000126432.14,PRDX5,chr11,protein_coding,3690.0
PRELID1,ENSG00000169230.10,PRELID1,chr5,protein_coding,3150.0
PREX1,ENSG00000124126.14,PREX1,chr20,protein_coding,203747.0
PRIM1,ENSG00000198056.16,PRIM1,chr12,protein_coding,21936.0
PRKACA,ENSG00000072062.16,PRKACA,chr19,protein_coding,26396.0
